title,price,location,surface,rooms,baths,link
Appartement vue piscine,1200000,"Appartements dans Dar Bouazza, Toute la ville",,3 chambres,2 sdbs,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_vue_piscine_57663713.htm
A vendre un joli appartement de 3 chambres,2450000,"Appartements dans Casablanca, Racine",132 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/racine/appartements/A_vendre_un_joli_appartement_de_3_chambres_57415416.htm
Apt Neuf 3 Chambres 1Salon roudani Maarif,1400000,"Appartements dans Casablanca, Maarif",70 m²,3 chambres,1 sdb,https://www.avito.ma/fr/maarif/appartements/Apt_Neuf_3_Chambres_1Salon_roudani_Maarif_57343247.htm
😍 Appartement rénové avec belle vue,390000,"Appartements dans Marrakech, Azzouzia",59 m²,2 chambres,1 sdb,https://www.avito.ma/fr/azzouzia/appartements/___Appartement_r%C3%A9nov%C3%A9_avec_belle_vue_57797690.htm
Magnifique studio à vendre palmier,1200000,"Appartements dans Casablanca, Palmier",,1 chambre,1 sdb,https://www.avito.ma/fr/palmier/appartements/Magnifique_studio_%C3%A0_vendre_palmier_56489196.htm
Appartement à vendre au parc mohammedia,2499999,"Appartements dans Mohammedia, Centre Ville",,3 chambres,2 sdbs,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_au_parc_mohammedia_57079350.htm
Appartement à vendre à Hay Salam Oujda,380000,"Appartements dans Oujda, Hay Salam",53 m²,2 chambres,1 sdb,https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_%C3%A0_Hay_Salam_Oujda_57780476.htm
Appartement à vendre 98 m² à Marrakech,1500000,"Appartements dans Marrakech, Guéliz",appartement à vendre 98 m² à marrakech,2 chambres,2 sdbs,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Marrakech_57736559.htm
Appart. 3 façades 78 m2 sidi Maarof à côté Worod,780000,"Appartements dans Casablanca, Sidi Maarouf",,3 chambres,1 sdb,https://www.avito.ma/fr/sidi_maarouf/appartements/Appart__3_fa%C3%A7ades_78_m2_sidi_Maarof_%C3%A0_c%C3%B4t%C3%A9_Worod_56306214.htm
Duplex RDC 47 m² en vente - piscine Rooftop,1708000,"Appartements dans Marrakech, Av Abdelkrim El Khattabi",47 m²,1 chambre,2 sdbs,https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Duplex_RDC_47_m%C2%B2_en_vente___piscine_Rooftop_57606328.htm
TRIANGLE D’OR BEL APPT A VENDRE AVEC TERRASSE,3750000,"Appartements dans Casablanca, Triangle d'Or",267 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/triangle_d_or/appartements/TRIANGLE_D_OR_BEL_APPT_A_VENDRE_AVEC_TERRASSE_55809049.htm
Appartement à vendre 149 m² à Casablanca,850000,"Appartements dans Casablanca, Belvédère",149 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_vendre_149_m%C2%B2_%C3%A0_Casablanca_57832871.htm
Appartement 66 m² à Hay Nakhil Oujda,690000,"Appartements dans Oujda, Autre secteur",appartement 66 m² à hay nakhil oujda,3 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_66_m%C2%B2_%C3%A0_Hay_Nakhil_Oujda_55904368.htm
A VENDRE APPARTEMENTS NEUFS AVEC TITRES FONCIERS,575000,"Appartements dans Kénitra, Bir Rami",90 m²,3 chambres,1 sdb,https://www.avito.ma/fr/bir_rami/appartements/A_VENDRE_APPARTEMENTS_NEUFS_AVEC_TITRES_FONCIERS_57372793.htm
Appartement en vente 65m² à Gueliz-Piscine Rooftop,1498000,"Appartements dans Marrakech, Guéliz",65 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_en_vente_65m%C2%B2_%C3%A0_Gueliz_Piscine_Rooftop_57658705.htm
Studio neuf 41 m2 à vendre Roche Noires,640000,"Appartements dans Casablanca, Roches Noires",41 m²,1 chambre,1 sdb,https://www.avito.ma/fr/roches_noires/appartements/Studio_neuf_41_m2_%C3%A0_vendre_Roche_Noires_55587139.htm
Duplex à vendre avec piscine proche Guéliz,1050000,"Appartements dans Marrakech, Mabrouka",95 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/mabrouka/appartements/Duplex_%C3%A0_vendre_avec_piscine_proche_Gu%C3%A9liz_57727756.htm
